genre,feature,value
alt-rock,popularity,0.7550602409638555
alternative,popularity,0.761547619047619
dance,popularity,0.7892244897959183
edm,popularity,0.7601648351648351
electro,popularity,0.756265560165975
house,popularity,0.7589140271493213
indie,popularity,0.7718378378378378
indie-pop,popularity,0.7568926553672317
k-pop,popularity,0.7434222222222222
latino,popularity,0.7942528735632185
metal,popularity,0.7452534562211981
pop,popularity,0.7822712933753944
reggaeton,popularity,0.7906962025316456
rock,popularity,0.794949494949495
alt-rock,danceability,0.5223915662650602
alternative,danceability,0.555202380952381
dance,danceability,0.6823673469387755
edm,danceability,0.6600054945054945
electro,danceability,0.658195020746888
house,danceability,0.6808280542986425
indie,danceability,0.5768054054054054
indie-pop,danceability,0.5858418079096045
k-pop,danceability,0.6815555555555556
latino,danceability,0.767816091954023
metal,danceability,0.47753456221198154
pop,danceability,0.6370820189274449
reggaeton,danceability,0.772632911392405
rock,danceability,0.5647929292929292
alt-rock,energy,0.7319698795180724
alternative,energy,0.7311607142857143
dance,energy,0.6832081632653061
edm,energy,0.7440769230769231
electro,energy,0.6447966804979253
house,energy,0.7383122171945702
indie,energy,0.5874686486486487
indie-pop,energy,0.5892807909604519
k-pop,energy,0.746248888888889
latino,energy,0.720183908045977
metal,energy,0.8379815668202766
pop,energy,0.6157791798107255
reggaeton,energy,0.7190886075949368
rock,energy,0.6766565656565657
alt-rock,acousticness,0.10637720240963856
alternative,acousticness,0.11334086607142858
dance,acousticness,0.16244764081632654
edm,acousticness,0.11969769230769231
electro,acousticness,0.2351039875518672
house,acousticness,0.11585657013574661
indie,acousticness,0.3062226515135135
indie-pop,acousticness,0.29962033858757064
k-pop,acousticness,0.12417304444444445
latino,acousticness,0.17416810344827588
metal,acousticness,0.03413029589861751
pop,acousticness,0.32643111987381707
reggaeton,acousticness,0.17001886075949368
rock,acousticness,0.15947055555555556
alt-rock,instrumentalness,0.06692923427710844
alternative,instrumentalness,0.05370565678571429
dance,instrumentalness,0.0022750459999999998
edm,instrumentalness,0.018754857142857143
electro,instrumentalness,0.030970117966804978
house,instrumentalness,0.013470280226244344
indie,instrumentalness,0.11079882486486486
indie-pop,instrumentalness,0.09085959802259887
k-pop,instrumentalness,0.008283063555555555
latino,instrumentalness,0.004246674540229885
metal,instrumentalness,0.04491021640552995
pop,instrumentalness,0.005230359116719242
reggaeton,instrumentalness,0.0037452239873417724
rock,instrumentalness,0.0261574246969697
alt-rock,valence,0.46065722891566263
alternative,valence,0.46368869047619043
dance,valence,0.5304297959183674
edm,valence,0.46612857142857145
electro,valence,0.451945643153527
house,valence,0.4872398190045249
indie,valence,0.42904972972972977
indie-pop,valence,0.44266723163841815
k-pop,valence,0.5664133333333333
latino,valence,0.5726379310344827
metal,valence,0.44918801843317974
pop,valence,0.4863586750788644
reggaeton,valence,0.6008417721518988
rock,valence,0.4807035353535353
